20220701	10:18:31	5d53081b-2db8-415c-be57-7bd6e97311ea	/new-page.html	GET
20220701	10:18:34	4fd03cfb-3ebd-4624-a3b3-1e20d1c3602e	/img/img1.jpg	GET
20220701	10:18:34	4da287db-2b5d-4e93-94ad-dcadfca82c09	/css/style.css	GET
20220701	10:19:19	75a7aea8-639e-45c3-ac74-9e50fb81cb30	/new-page.html	GET
20220701	10:19:23	a80d9048-5f60-4610-a46f-1723029b2458	/css/style.css	GET
20220701	10:19:23	675904e5-e95c-4b32-a18a-bfb4ea645373	/img/img1.jpg	GET
20220701	12:58:25	20c775ba-24a5-4cdf-b11e-042b0e6350ab	GET	undefined	/
20220701	12:58:29	31728b71-5d20-4c38-9ce5-4279c0f09945	GET	undefined	/css/style.css
20220701	13:05:46	dcb2b196-c072-4263-b487-4af26f0a6f0c	GET	undefined	/
20220701	13:05:48	ab4c3aa6-26b3-422c-940e-8c56d6d53f8b	GET	undefined	/css/style.css
20220701	13:19:48	00522f78-a1e0-4a9a-a6e9-94b9c47141d2	GET	undefined	/google.com
20220701	13:19:52	5be179a9-5640-44ed-912d-cfc0dd6d1dc6	GET	undefined	/google.com
20220701	13:19:56	8a163cb2-50a6-4097-b420-c27e0bce1007	GET	undefined	/google.com
20220701	13:22:59	93695608-4cd1-4de6-aca6-2a0ba2adb737	GET	https://www.google.com	/
20220701	13:23:10	07632170-c21b-4c9e-949a-e9a34b4cad33	GET	https://www.google.com	/
20220701	13:25:07	8517e118-12de-424b-865f-34eaa95f3afb	GET	undefined	/google.com
20220701	13:27:08	639270c9-704e-485c-903f-9fd6f80caeca	GET	undefined	/google.com
20220701	13:27:12	c140543a-b631-4d39-aead-720b0adb8662	GET	undefined	/css/style.css
20220701	13:27:14	a818af12-d6c3-42a6-be49-61e8ec635e6b	GET	undefined	/google.com
20220701	13:27:18	cee4970a-8cc6-46b1-97fe-fc5a7f458b59	GET	undefined	/css/style.css
20220701	13:40:33	cc62c8bd-110b-45c1-a293-10d99db3fd6c	GET	undefined	/google.com
20220701	13:40:37	fe777efb-5ec0-4198-af9a-53a988cac044	GET	undefined	/css/style.css
20220701	13:40:52	8aa4c6e6-95af-4392-94c4-ee453eb14b61	GET	undefined	/google.com
20220701	13:40:55	9bc9d6a3-7203-46be-877a-7001bd4525f9	GET	undefined	/css/style.css
20220701	13:41:01	5db05976-c675-4277-8ef0-60c64157a2dd	GET	undefined	/
20220701	13:41:04	9a37c03d-de81-482a-ae3f-ff14e5c7045f	GET	undefined	/css/style.css
20220701	13:49:39	cceb40aa-6da4-4ca6-9c26-fdf8b452f09d	GET	undefined	/
20220701	13:50:07	6f8e255e-0639-4d29-a595-2b301de5421b	GET	undefined	/
20220701	13:50:10	175e1ae0-7f0b-461e-bc2b-02870d0555e2	GET	undefined	/css/style.css
20220701	13:57:30	02bac1ad-8e1e-49b8-aea4-6cb95095770e	GET	undefined	/dave
20220701	13:57:34	43f19a87-39ed-456f-8e27-5e231c4fe7ff	GET	undefined	/css/style.css
20220701	15:21:53	2b0d4609-5366-4e84-b923-e48c5ec8a940	GET	undefined	/
20220701	15:21:56	6c4a0bc9-ec44-4777-aea7-e79d91348ea1	GET	undefined	/css/style.css
20220703	21:17:53	5cb3a433-ab5a-4d1c-ab72-919e3c8f943c	GET	undefined	/
20220703	21:17:56	87a0a512-eb46-4fed-a5dc-8f96dedd7ef4	GET	undefined	/css/style.css
20220703	21:23:10	9271fa2b-6858-4741-80db-c96423488f00	GET	undefined	/
20220703	21:50:04	ade8082a-a534-4917-90eb-91ec1a3261c9	GET	undefined	/
20220703	21:50:07	63e12fa7-fc8f-4383-902f-5d3934be73f5	GET	undefined	/css/style.css
20220703	21:50:11	e4cd8e9d-ff85-403a-8c5c-766545cf65b2	GET	undefined	/subdir
20220703	21:50:18	c7dd9977-28e7-4cf2-b0d0-4c81f4d72ab8	GET	undefined	/subdir/test
